Name,Location,Primary Role,Skills,Education,Years Experience,Seniority,GitHub,Portfolio,Certifications,Notable Projects,Availability,Desired Salary (USD/month),Open Source Contributions,Completed Projects,Coding Test Score (0-100),Proficiency Score (0-100),Education Rank,Ranking Score,Experience,CoverLetter
Olu Ogun,"Berlin, DE",Fullstack Developer,"Svelte, SvelteKit, JavaScript, Cypress, Babel",M.Sc. Computer Science,7,Senior,https://github.com/olu195,,None,E-commerce site,2 weeks,800,13,2,86,79,3,94.9,7 years as Fullstack Developer,"I am Olu, a Senior Fullstack Developer with 7 years experience. I build e-commerce site and enjoy working on performant, accessible web apps."
Ola Mensah,"Lagos, NG",Frontend Developer,"Ruby, Rails, PostgreSQL, Jest, Webpack, CI/CD",Diploma Software Engineering,7,Senior,https://github.com/ola399,https://ola-portfolio.com,None,E-commerce site,1 month,800,24,7,79,80,1,93.8,7 years as Frontend Developer,"I am Ola, a Senior Frontend Developer with 7 years experience. I build e-commerce site and enjoy working on performant, accessible web apps."
Kamil Akin,"Abuja, NG",Web Performance Engineer,"Go, gRPC, Postgres, PostCSS, Webpack",B.Sc. Software Engineering,8,Senior,https://github.com/kamil602,,None,Open-source component library,1 month,500,12,8,82,79,2,92.8,8 years as Web Performance Engineer,"I am Kamil, a Senior Web Performance Engineer with 8 years experience. I build open-source component library and enjoy working on performant, accessible web apps."
Parker Yakubu,"Toronto, CA",Backend Developer,"HTML, CSS, JavaScript, React",B.Sc. Computer Science,4,Mid,https://github.com/parker881,,Google Cloud Associate,Fintech dashboard,Negotiable,500,17,3,93,76,2,90.3,4 years as Backend Developer,"I am Parker, a Mid Backend Developer with 4 years experience. I build fintech dashboard and enjoy working on performant, accessible web apps."
Chika Akinola,"Kigali, RW",Web Performance Engineer,"HTML, CSS, JavaScript, React",HND Computer Science,4,Mid,https://github.com/chika314,,None,Health app,1 month,800,22,8,87,75,1,87.9,4 years as Web Performance Engineer,"I am Chika, a Mid Web Performance Engineer with 4 years experience. I build health app and enjoy working on performant, accessible web apps."
Morgan Umar,"Accra, GH",Frontend Engineer,"React, TypeScript, Tailwind, Vite",B.Sc. Software Engineering,5,Senior,https://github.com/morgan312,https://morgan-portfolio.com,None,Static site generator,Negotiable,2000,19,10,82,73,2,87.5,5 years as Frontend Engineer,"I am Morgan, a Senior Frontend Engineer with 5 years experience. I build static site generator and enjoy working on performant, accessible web apps."
Ifunanya Balogun,"Kigali, RW",UI Engineer,"React, TypeScript, Tailwind, Vite, GraphQL",B.Sc. Software Engineering,7,Senior,https://github.com/ifunanya635,https://ifunanya-portfolio.com,Frontend Masters Certificate,Portfolio site,Negotiable,2500,8,8,81,73,2,85.8,7 years as UI Engineer,"I am Ifunanya, a Senior UI Engineer with 7 years experience. I build portfolio site and enjoy working on performant, accessible web apps."
Quinn Fadahunsi,"Nairobi, KE",UI Engineer,"JavaScript, Node.js, Express, MongoDB, Webpack, Docker, TypeScript",HND Computer Science,4,Mid,https://github.com/quinn622,,None,Open-source component library,2 weeks,2000,15,12,89,72,1,83.9,4 years as UI Engineer,"I am Quinn, a Mid UI Engineer with 4 years experience. I build open-source component library and enjoy working on performant, accessible web apps."
Devin Eze,"Lagos, NG",Backend Developer,"HTML, CSS, Accessibility, Figma-to-code, PostCSS, Webpack, Babel",M.Sc. Computer Science,1,Junior,https://github.com/devin454,,Frontend Masters Certificate,Open-source component library,Negotiable,800,24,4,87,67,3,83.4,1 years as Backend Developer,"I am Devin, a Junior Backend Developer with 1 years experience. I build open-source component library and enjoy working on performant, accessible web apps."
Cameron Diallo,"Ibadan, NG",Backend Developer,"Go, gRPC, Postgres",M.Sc. Computer Science,6,Senior,https://github.com/cameron263,,React Professional,Real-time chat app,1 month,300,18,1,68,67,3,82.8,6 years as Backend Developer,"I am Cameron, a Senior Backend Developer with 6 years experience. I build real-time chat app and enjoy working on performant, accessible web apps."
Nneka Ademola,"London, UK",Frontend Engineer,"HTML, CSS, JavaScript, Vue, PostCSS, Webpack",Diploma Software Engineering,6,Senior,https://github.com/nneka909,,AWS Certified Developer,Portfolio site,1 month,500,23,2,68,70,1,82.6,6 years as Frontend Engineer,"I am Nneka, a Senior Frontend Engineer with 6 years experience. I build portfolio site and enjoy working on performant, accessible web apps."
Skyler Osei,"Nairobi, KE",UI Engineer,"Go, gRPC, Postgres, Cypress",B.Sc. Software Engineering,3,Mid,https://github.com/skyler946,https://skyler-portfolio.com,Frontend Masters Certificate,E-commerce site,Immediate,300,24,4,79,68,2,82.6,3 years as UI Engineer,"I am Skyler, a Mid UI Engineer with 3 years experience. I build e-commerce site and enjoy working on performant, accessible web apps."
Tunji Adewale,"Ibadan, NG",Frontend Engineer,"Svelte, SvelteKit, JavaScript, CI/CD",B.Sc. Software Engineering,3,Mid,https://github.com/tunji399,,None,Open-source component library,2 weeks,2000,17,1,83,67,2,80.4,3 years as Frontend Engineer,"I am Tunji, a Mid Frontend Engineer with 3 years experience. I build open-source component library and enjoy working on performant, accessible web apps."
Parker Ibrahim,"Abuja, NG",Fullstack Developer,"HTML, CSS, JavaScript, Vue, Kubernetes",Diploma Software Engineering,2,Mid,https://github.com/parker374,https://parker-portfolio.com,None,Portfolio site,1 month,2500,21,11,85,67,1,79.1,2 years as Fullstack Developer,"I am Parker, a Mid Fullstack Developer with 2 years experience. I build portfolio site and enjoy working on performant, accessible web apps."
David Nwosu,"Kigali, RW",Mobile Web Developer,"Python, Django, REST, PostgreSQL",B.Sc. Computer Science,5,Senior,https://github.com/david103,https://david-portfolio.com,None,Real-time chat app,1 month,300,7,6,81,67,2,78.8,5 years as Mobile Web Developer,"I am David, a Senior Mobile Web Developer with 5 years experience. I build real-time chat app and enjoy working on performant, accessible web apps."
David Patel,"San Francisco, USA",Fullstack Developer,"Node.js, Serverless, AWS Lambda, Kubernetes",B.Sc. Computer Science,4,Mid,https://github.com/david767,,Frontend Masters Certificate,Open-source component library,1 month,2500,12,5,79,65,2,77.5,4 years as Fullstack Developer,"I am David, a Mid Fullstack Developer with 4 years experience. I build open-source component library and enjoy working on performant, accessible web apps."
Skyler Lawal,"Ibadan, NG",Frontend Engineer,"Ruby, Rails, PostgreSQL, Cypress, Redis, GraphQL",B.Sc. Computer Science,7,Senior,https://github.com/skyler907,https://skyler-portfolio.com,None,Real-time chat app,Negotiable,300,17,4,59,64,2,77.4,7 years as Frontend Engineer,"I am Skyler, a Senior Frontend Engineer with 7 years experience. I build real-time chat app and enjoy working on performant, accessible web apps."
Kai Chen,"Ibadan, NG",Frontend Engineer,"Go, gRPC, Postgres, Webpack, Docker, Kubernetes",B.Sc. Computer Science,7,Senior,https://github.com/kai153,https://kai-portfolio.com,Microsoft Azure Developer,Health app,2 weeks,300,9,6,66,65,2,76.9,7 years as Frontend Engineer,"I am Kai, a Senior Frontend Engineer with 7 years experience. I build health app and enjoy working on performant, accessible web apps."
Grace Ibrahim,"Nairobi, KE",Web Performance Engineer,"HTML, CSS, Accessibility, Figma-to-code, PostCSS, Redis, TypeScript",Diploma Software Engineering,5,Senior,https://github.com/grace279,,Microsoft Azure Developer,Real-time chat app,2 weeks,500,12,12,75,66,1,76.4,5 years as Web Performance Engineer,"I am Grace, a Senior Web Performance Engineer with 5 years experience. I build real-time chat app and enjoy working on performant, accessible web apps."
Casey Ajayi,"Accra, GH",Frontend Engineer,"Svelte, SvelteKit, JavaScript",Diploma Software Engineering,4,Mid,https://github.com/casey30,https://casey-portfolio.com,Microsoft Azure Developer,Fintech dashboard,1 month,800,13,3,79,65,1,75.9,4 years as Frontend Engineer,"I am Casey, a Mid Frontend Engineer with 4 years experience. I build fintech dashboard and enjoy working on performant, accessible web apps."
Drew Ademola,"Berlin, DE",Frontend Developer,"React Native, Expo, Mobile, Babel",M.Sc. Computer Science,4,Mid,https://github.com/drew674,,Certified Scrum Developer,Education LMS,2 weeks,800,12,3,73,61,3,75.3,4 years as Frontend Developer,"I am Drew, a Mid Frontend Developer with 4 years experience. I build education lms and enjoy working on performant, accessible web apps."
Morgan Mensah,"Ibadan, NG",UI Engineer,"React Native, Expo, Mobile, Redis, CI/CD",Diploma Software Engineering,6,Senior,https://github.com/morgan147,,React Professional,Static site generator,1 month,2500,18,7,62,64,1,75.2,6 years as UI Engineer,"I am Morgan, a Senior UI Engineer with 6 years experience. I build static site generator and enjoy working on performant, accessible web apps."
Ada Eze,"New York, USA",Mobile Web Developer,"Node.js, Serverless, AWS Lambda, Jest, Redis",B.Sc. Computer Science,3,Mid,https://github.com/ada769,,None,E-commerce site,Negotiable,1500,10,3,82,63,2,74.9,3 years as Mobile Web Developer,"I am Ada, a Mid Mobile Web Developer with 3 years experience. I build e-commerce site and enjoy working on performant, accessible web apps."
Tunji Amadi,Remote,Mobile Web Developer,"JavaScript, Node.js, Express, MongoDB, Webpack, Docker, CI/CD",B.Sc. Computer Science,2,Mid,https://github.com/tunji994,,None,Health app,Immediate,500,16,6,80,62,2,74.6,2 years as Mobile Web Developer,"I am Tunji, a Mid Mobile Web Developer with 2 years experience. I build health app and enjoy working on performant, accessible web apps."
Taylor Yakubu,"Lagos, NG",Frontend Engineer,"PHP, Laravel, MySQL",HND Computer Science,6,Senior,https://github.com/taylor515,https://taylor-portfolio.com,AWS Certified Developer,Real-time chat app,Immediate,2000,2,11,76,64,1,73.0,6 years as Frontend Engineer,"I am Taylor, a Senior Frontend Engineer with 6 years experience. I build real-time chat app and enjoy working on performant, accessible web apps."
